"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Dong-gu","Household[Household]","Household","47928","47950","48063","48226","48727","48928","48984","49112","50009","50521","50809","51029","51058","51095","50983","51274","51282","51414","51550","51795","51994","52059","52259","52362","52436","52514","52484","52481","52540","52717","52868","53722","53959","54006","54050","54072","54094","54342","54507","54667","54805","54882","54933","55009","54985","55107","55243","55283","55255","55306","55380","55350","55341","55277","55248","55217","55319","55405","55417","55362","55184","55271","55103","54935","54922","54875","54992","55108","55122","55203","55183",
"Seo-gu","Household[Household]","Household","129098","129343","129488","129916","130281","130512","130663","130844","130964","131060","131224","131373","131644","131791","131813","131827","131724","131850","131981","132214","132468","132548","132663","132808","132931","132949","133049","133103","133119","133066","133081","133511","133647","133602","133548","133554","133676","133857","133935","134000","134116","134185","134288","134476","134405","134154","133907","133816","133690","133890","133721","133512","133312","133167","133173","133063","132944","132797","132732","132715","132630","132692","132669","132678","132691","132718","132721","132745","132726","132726","132695",
"Nam-gu","Household[Household]","Household","92297","92378","92473","92682","92668","92665","92699","92806","92889","92986","93045","93295","93493","93632","93243","93377","93621","93908","94256","94476","94824","95293","95625","95722","95849","95954","95963","96146","96486","96646","96704","96559","96295","96133","96005","95868","95741","95795","95778","95717","95633","95597","95629","95603","95626","95511","95479","95417","95383","95483","95449","95406","95385","95345","95234","95170","95173","95107","95217","95426","95626","96026","96116","96228","96198","96203","96169","96144","96322","96259","96209",
"Buk-gu","Household[Household]","Household","187127","187502","188056","188726","189400","190277","190694","191117","191307","191174","191532","191997","192588","193047","193362","193669","193544","193705","194047","194452","195081","195305","195568","195695","195811","196446","196919","196995","197158","197373","197542","197556","197341","198023","198058","198085","198068","198320","198569","198611","198757","198806","198872","199279","199404","199373","199313","199280","199286","199502","200386","200929","201593","201908","202193","202513","202744","202720","202760","202638","202339","202676","202508","202334","202168","202132","202154","202117","202000","201729","201532",
"Gwangsan-gu","Household[Household]","Household","160929","161330","161970","162824","163611","164004","164636","165175","165526","165528","165654","165888","166076","166434","166759","167022","167193","167393","167499","167899","168359","168636","168857","169125","169402","169556","169837","169928","170151","170329","170513","170702","170805","170834","170774","170776","170795","170895","171017","171197","171371","171555","171713","171688","171641","171530","171610","171637","171745","171836","171819","171787","171889","171996","172111","172047","172030","171952","171895","171934","171937","172127","172030","172163","172504","172714","172861","173054","173108","173058","173122",
"Daejeon","Household[Household]","Household","636203","637726","638921","640500","643220","644764","646211","647818","649552","650636","651488","652783","654078","655842","655196","656007","657087","657781","658831","659978","661948","662615","663621","664417","664804","666643","667934","668599","669589","670279","671127","672491","672212","673098","673163","673429","673759","675760","677326","677706","678666","679151","679611","680337","680653","680363","680226","680261","680459","682238","683954","684540","685330","685633","686053","686895","687909","687677","687794","687757","687941","690964","692001","692420","693055","693571","694868","696342","697288","697280","697604",
"Dong-gu","Household[Household]","Household","103958","103973","104022","104151","104445","104604","104672","104884","105031","105037","105099","105729","106232","106813","106511","106636","106836","106961","107104","107368","107763","107958","108026","107832","107558","107803","107833","107663","108142","108403","108514","108585","108647","108670","108677","108640","108512","108829","109136","109062","109196","109218","109186","109296","109366","109264","109170","108996","108714","109037","109355","109330","109376","109305","109347","110019","110713","110983","110983","110878","111384","112612","112751","112706","112641","112515","112601","112863","112976","112998","112940",
"Jung-gu","Household[Household]","Household","106486","106756","106821","107000","107226","107314","107403","107517","107659","107657","107667","107626","107645","107796","107299","107294","107418","107537","107576","107582","107704","107794","107755","107609","107538","107714","108026","108236","108179","108467","108618","108552","108110","108078","107819","107692","107578","107657","107670","107543","107476","107336","107337","107327","107367","107218","106910","106885","106872","106937","107204","107495","107455","107429","107427","107750","107941","108093","108235","108358","108283","108218","108160","108261","108919","109384","109598","109714","109837","109889","109875",
"Seo-gu","Household[Household]","Household","204142","204816","205335","205985","206996","207568","208139","208748","209239","209391","209596","209931","210281","210829","210776","211190","211476","211670","212022","212402","212915","213020","213343","213592","213780","214326","214721","214965","215087","215066","215229","216074","216214","216618","216592","216539","216667","217163","217534","217490","217627","217750","217881","217946","217882","217477","217325","217305","217536","218076","218283","218164","218159","218026","217971","217804","217685","217354","217221","217245","217252","218482","219491","219971","220197","220279","220870","221712","222119","222187","222276",
"Yuseong-gu","Household[Household]","Household","145781","146334","146848","147429","148454","149130","149798","150379","150816","151076","151253","151292","151606","151939","152199","152372","152717","152860","153197","153591","154407","154560","155165","155450","155677","156347","156792","157164","157541","157723","158092","158563","158770","159260","159670","160305","160881","161894","162707","163362","164099","164554","164851","165383","165672","166028","166481","166767","167008","167654","168186","168359","169079","169496","169871","169958","170284","170146","170297","170225","170125","170688","170687","170672","170543","170410","170671","170901","171180","171097","171493",
"Daedeok-gu","Household[Household]","Household","75836","75847","75895","75935","76099","76148","76199","76290","76807","77475","77873","78205","78314","78465","78411","78515","78640","78753","78932","79035","79159","79283","79332","79934","80251","80453","80562","80571","80640","80620","80674","80717","80471","80472","80405","80253","80121","80217","80279","80249","80268","80293","80356","80385","80366","80376","80340","80308","80329","80534","80926","81192","81261","81377","81437","81364","81286","81101","81058","81051","80897","80964","80912","80810","80755","80983","81128","81152","81176","81109","81020",
"Ulsan","Household[Household]","Household","469007","469551","470294","471153","472255","472983","473640","474328","474970","475424","476112","476893","478531","479441","478528","478865","479362","479971","480623","480951","481483","481811","482287","482650","482917","483490","484122","484641","485349","485652","485759","486060","485838","486070","486101","486143","486281","486823","487241","487447","487873","488421","488828","489064","489298","489851","490174","490690","490987","491670","492279","492911","493411","493783","494078","494386","494664","494846","495034","495378","495677","496077","496377","496578","496827","497117","497463","497869","498241","498670","499049",
"Jung-gu","Household[Household]","Household","92994","92927","92908","92901","92995","92996","93054","93093","93138","93207","93192","93212","93408","93473","92963","92991","93121","93379","93552","93583","93590","93658","93706","93633","93580","93574","93628","93673","93658","93624","93624","93554","93324","93309","93155","93055","92948","92950","92922","92883","92929","92892","92841","92718","92747","93597","94147","94372","94357","94388","94442","94545","94603","94670","94702","94756","94796","94795","94803","94851","94855","94851","94797","94698","94640","94560","94387","94324","94271","94291","94666",
"Nam-gu","Household[Household]","Household","135477","135738","135984","136328","136747","137004","137182","137316","137426","137453","137772","137925","138310","138625","138374","138416","138485","138521","138583","138513","138660","138607","138559","138512","138421","138537","138654","138903","139223","139415","139474","139534","139441","139532","139527","139525","139583","139757","139864","139903","140041","140125","140335","140531","140590","140443","140245","140162","140080","140145","140294","140444","140658","140778","140831","140949","141122","141193","141262","141400","141500","141784","141916","142046","142081","142203","142324","142500","142819","142933","142884",
"Dong-gu","Household[Household]","Household","65167","65189","65196","65234","65420","65496","65478","65581","65671","65700","65781","65815","65971","66102","65948","65934","65941","66005","66011","66062","66167","66210","66205","66201","66250","66313","66377","66393","66449","66415","66404","66420","66280","66297","66318","66282","66293","66328","66373","66334","66396","66859","67186","67445","67608","67651","67702","67743","67824","67905","67974","68051","68134","68148","68154","68168","68169","68115","68084","68113","68126","68150","68157","68174","68252","68273","68309","68349","68335","68407","68378",
"Buk-gu","Household[Household]","Household","81382","81608","81833","82011","82250","82511","82725","82917","83130","83335","83464","83781","84294","84466","84535","84655","84744","84776","84895","85017","85073","85176","85484","85815","86067","86287","86522","86602","86626","86706","86722","86784","86856","86956","87058","87153","87274","87526","87713","87844","87962","87965","87903","87838","87846","87665","87543","87865","88149","88363","88458","88554","88587","88727","88806","88793","88846","88864","88931","89079","89173","89208","89292","89379","89470","89616","89771","89907","89963","89999","89998",
"Ulju-gun","Household[Household]","Household","93987","94089","94373","94679","94843","94976","95201","95421","95605","95729","95903","96160","96548","96775","96708","96869","97071","97290","97582","97776","97993","98160","98333","98489","98599","98779","98941","99070","99393","99492","99535","99768","99937","99976","100043","100128","100183","100262","100369","100483","100545","100580","100563","100532","100507","100495","100537","100548","100577","100869","101111","101317","101429","101460","101585","101720","101731","101879","101954","101935","102023","102084","102215","102281","102384","102465","102672","102789","102853","103040","103123",
"Sejong-si","Household[Household]","Household","136056","136629","137208","137500","137893","138167","138720","139552","140222","141687","142912","144275","145403","146323","146763","147292","147848","148604","149580","150077","150841","151639","152301","153649","154890","155990","156696","157270","157846","158258","158495","158798","159036","159129","159150","159386","159556","160012","160320","160474","160604","160615","160562","160439","160479","160556","160764","160835","160942","161303","161711","161975","162063","162161","162554","162837","162952","163177","163414","163432","163404","164111","164491","164710","164871","165009","165004","165088","165343","165442","165456",
"Sejong-si","Household[Household]","Household","136056","136629","137208","137500","137893","138167","138720","139552","140222","141687","142912","144275","145403","146323","146763","147292","147848","148604","149580","150077","150841","151639","152301","153649","154890","155990","156696","157270","157846","158258","158495","158798","159036","159129","159150","159386","159556","160012","160320","160474","160604","160615","160562","160439","160479","160556","160764","160835","160942","161303","161711","161975","162063","162161","162554","162837","162952","163177","163414","163432","163404","164111","164491","164710","164871","165009","165004","165088","165343","165442","165456",
"Gyeonggi-do","Household[Household]","Household","5480444","5497087","5514938","5529263","5547190","5566078","5584110","5605611","5626369","5641978","5658580","5676401","5694934","5717252","5719333","5735887","5749175","5763227","5776653","5793437","5809524","5820524","5831464","5841995","5850373","5861240","5871380","5880097","5890145","5898050","5904582","5910963","5902827","5908615","5909700","5913694","5918630","5927894","5936411","5942067","5948920","5956358","5962224","5965990","5969573","5971803","5974055","5978724","5984576","5994965","6003993","6010717","6018450","6025219","6033443","6039455","6045219","6049474","6053215","6058202","6062570","6072106","6078515","6084016","6088535","6094387","6099419","6105536","6110044","6113200","6115606",
"Suwon-si","Household[Household]","Household","499238","500289","500681","501215","502146","503104","503913","504528","505292","505484","506174","506950","507734","509531","510541","511431","512272","512813","513394","514282","516103","517044","517472","517822","518742","520276","521628","522499","523201","523850","524395","526086","526988","527950","528097","528482","529082","530462","530780","531034","531460","532199","533196","534722","535414","536194","536680","537078","537396","538232","539167","539750","540606","540725","540999","541156","540957","540653","540685","540719","540621","541349","541658","542152","542311","542568","542331","542309","542056","541867","541673",
"Jangan-gu","Household[Household]","Household","115025","115069","114947","115054","115150","115245","115250","115282","115694","115686","115739","115738","115743","115933","116196","116226","116281","116223","116167","116290","117635","118237","118492","118432","118326","118654","119118","119186","119244","119386","119428","119481","119261","119154","119012","118811","118619","118785","118713","118635","118580","118875","118967","118902","118837","119289","119626","119900","119980","120343","120641","121550","122288","122464","122686","122889","122868","122735","122672","122694","122570","122822","122887","122809","122725","122627","122535","122482","122451","122441","122421",
"Gwonseon-gu","Household[Household]","Household","152880","153139","153256","153346","153597","153873","154116","154373","154460","154526","154740","154921","155206","155468","155006","155037","155220","155429","155714","156084","156377","156564","156697","157041","158444","159387","159954","160328","160482","160679","160803","160721","160333","160388","160763","161085","161375","161695","161880","161993","162586","163262","163776","163823","163613","163560","163666","163796","164021","164255","164604","164662","164755","164710","164813","164763","164663","164582","164635","164675","164758","164998","165147","165152","165079","165223","165257","165369","165373","165341","165376",
"Paldal-gu","Household[Household]","Household","84358","84603","84743","84864","85059","85337","85419","85582","85714","85794","86002","86362","86668","87864","89135","89951","90330","90599","90825","90983","91100","91104","91179","91278","91251","91372","91367","91305","91352","91403","91551","93168","94615","95589","95800","95950","96148","96415","96482","96592","96513","96404","96327","97616","98409","98688","98627","98505","98347","98304","98304","98119","98146","98139","98123","98119","98028","97886","97904","97877","97940","98094","98051","98046","97968","98054","97964","97905","97793","97675","97595",
"Yondtong-gu","Household[Household]","Household","146975","147478","147735","147951","148340","148649","149128","149291","149424","149478","149693","149929","150117","150266","150204","150217","150441","150562","150688","150925","150991","151139","151104","151071","150721","150863","151189","151680","152123","152382","152613","152716","152779","152819","152522","152636","152940","153567","153705","153814","153781","153658","154126","154381","154555","154657","154761","154877","155048","155330","155618","155419","155417","155412","155377","155385","155398","155450","155474","155473","155353","155435","155573","156145","156539","156664","156575","156553","156439","156410","156281",
"Seongnam-si","Household[Household]","Household","400854","401389","401748","402179","402687","403266","403840","405554","406802","407242","407553","407912","408356","408716","406344","406299","406341","406828","407591","408178","408567","408805","409031","409320","409654","410029","409933","409866","409840","409777","409813","409464","407461","407463","407103","408195","408915","409466","409453","409447","409505","409179","408608","408085","407836","407805","408860","409602","409989","410544","410870","410855","410743","410877","410971","410899","410617","410425","410292","410242","410181","410324","410366","410321","410300","410193","410070","409804","409693","409554","409247",
"Sujeong-gu","Household[Household]","Household","110376","110621","110848","111121","111414","111730","112125","114069","115400","115743","115756","115709","115826","115987","114700","114538","114414","114119","114082","114026","114051","114366","114520","114620","114689","114713","114801","114820","114773","114835","114872","114914","114426","114264","114016","113458","113175","113122","113143","113471","113744","113836","113879","113857","113839","113878","115319","116390","116817","117147","117362","117427","117500","117458","117448","117414","117275","117026","116872","116838","116771","116834","116813","116724","116618","116551","116495","116340","116320","116300","116143",
"Jungwon-gu","Household[Household]","Household","100129","100172","100253","100259","100386","100500","100587","100507","100540","100560","100792","101151","101306","101529","100879","101070","101194","101199","101164","101121","101062","100844","100596","100328","100216","100193","100005","99827","99729","99597","99504","99056","98104","98417","98432","100139","101123","101730","101922","101879","101880","101782","101685","101534","101469","101432","101154","101034","100934","101096","101175","101104","101006","101068","101062","100971","100878","100714","100599","100556","100551","100594","100649","100598","100568","100477","100349","100167","100032","99939","99779",
"Bundang-gu","Household[Household]","Household","190349","190596","190647","190799","190887","191036","191128","190978","190862","190939","191005","191052","191224","191200","190765","190691","190733","191510","192345","193031","193454","193595","193915","194372","194749","195123","195127","195219","195338","195345","195437","195494","194931","194782","194655","194598","194617","194614","194388","194097","193881","193561","193044","192694","192528","192495","192387","192178","192238","192301","192333","192324","192237","192351","192461","192514","192464","192685","192821","192848","192859","192896","192904","192999","193114","193165","193226","193297","193341","193315","193325",
"Uijeongbu-si","Household[Household]","Household","191062","191903","192725","193333","194134","195030","195887","197062","198362","199398","200435","201630","202563","203285","202412","202705","202772","203309","204205","204805","205101","205298","205523","205792","206149","206658","207169","207416","207857","207994","208114","208680","207988","208170","208306","208352","208216","208325","208340","208358","208483","209246","209685","209775","209929","209988","209985","209891","209794","209779","209769","209716","209721","209610","209504","209495","209535","209749","210070","210264","210392","210893","211248","211382","211561","211719","211756","211729","211913","212033","212041",
"Anyang-si","Household[Household]","Household","222143","221764","221560","221427","221390","221092","220980","220799","220604","220508","220575","220552","220822","222102","222632","223271","223498","223412","223345","223543","223835","223842","224013","224620","225670","226737","227077","227293","227666","227787","227898","227886","227266","227638","227564","227475","227464","227546","227576","227481","227358","227361","227357","227349","227220","227035","226925","227627","228314","228778","228952","229066","229235","229553","230511","231357","232278","233172","234133","235171","235947","237194","237963","238610","239150","239390","239567","239805","239976","239966","239960",
"Manan-gu","Household[Household]","Household","100691","100511","100594","100720","100989","101044","101106","101168","101243","101260","101301","101305","101338","101278","101229","101702","101929","102062","102244","102584","102917","103031","103064","103012","102786","102808","102791","102770","102661","102524","102461","102424","102239","102524","102507","102550","102575","102616","102625","102560","102477","102404","102396","102376","102267","102101","101943","101831","101701","101716","101684","101659","101671","101705","101622","101490","101409","101579","102294","102955","103270","104248","104920","105129","105332","105432","105414","105432","105519","105516","105546",
"Dongan-gu","Household[Household]","Household","121452","121253","120966","120707","120401","120048","119874","119631","119361","119248","119274","119247","119484","120824","121403","121569","121569","121350","121101","120959","120918","120811","120949","121608","122884","123929","124286","124523","125005","125263","125437","125462","125027","125114","125057","124925","124889","124930","124951","124921","124881","124957","124961","124973","124953","124934","124982","125796","126613","127062","127268","127407","127564","127848","128889","129867","130869","131593","131839","132216","132677","132946","133043","133481","133818","133958","134153","134373","134457","134450","134414",
"Bucheon-si","Household[Household]","Household","340274","340444","340894","341258","341824","342539","342938","343181","343627","343993","344253","344495","344798","345167","344153","344408","344759","345213","345631","345961","346511","346681","346855","347024","346968","346917","346926","347001","346910","346741","346643","346565","345010","344822","344305","344135","344004","344060","344953","345532","345786","345802","345756","345530","345286","344793","344217","344096","343955","343899","343775","343697","343804","343875","343873","343854","343858","343479","343391","343433","343393","343297","343192","343086","342978","342882","342814","342766","342749","342568","342321",
"Wonmi-gu","Household[Household]","Household","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174404","174443","174465","174499","174624","174734","174737","174777","174808","174626","174630","174645","174608","174707","174717","174729","174758","174726","174682","174621","174663","174653","174604",
"Sosa-gu","Household[Household]","Household","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99247","99242","99247","99209","99213","99239","99216","99289","99300","99190","99077","99148","99141","99013","98931","98868","98832","98793","98861","98944","98960","98915","98845",
"Ojeong-gu","Household[Household]","Household","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70304","70214","70063","69989","69967","69902","69920","69788","69750","69663","69684","69640","69644","69577","69544","69489","69388","69363","69271","69201","69126","69000","68872",
"Gwangmyeong-si","Household[Household]","Household","125911","126237","126334","126216","125901","125528","125021","124242","123278","122067","121048","120560","120341","120165","119788","120010","120127","120396","120450","120483","120366","120290","120101","119817","119598","119368","119232","119439","119621","119596","119599","119497","118945","118763","118664","118493","118233","117838","117176","116567","116088","115690","115290","115144","115057","115080","115117","115114","115063","114990","114927","114854","114807","114769","114752","114663","114591","114491","114765","115024","115826","116653","117362","117620","117773","119128","120055","120693","120982","121092","121749",
"Pyeongtaek-si","Household[Household]","Household","227141","228602","230067","231092","232451","234015","235352","236876","238404","240008","241756","243838","246050","248139","248002","249263","250859","252303","253665","255662","257722","258965","260515","262097","262999","263971","264816","265784","266929","267899","268706","269431","269403","270227","270780","271362","272182","273134","274282","275151","275913","276674","277478","277882","278441","278931","279335","279835","280380","281032","281822","282309","282631","283006","283323","283682","284167","284610","284913","285297","285490","286023","286450","286946","287546","287951","288237","288738","289642","290643","291502",
"Songtan branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Anjung branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Dongducheon-si","Household[Household]","Household","43047","43032","43010","43024","43122","43291","43315","43398","43451","43498","43683","43874","44026","44073","43381","43471","43554","43688","43797","43867","44036","44159","44225","44369","44388","44393","44422","44436","44481","44478","44487","44520","44100","44079","44005","43973","43897","43841","43756","43744","43669","43549","43455","43419","43398","43356","43361","43366","43366","43317","43235","43213","43223","43221","43240","43177","43156","43098","43107","43096","43117","43135","43183","43303","43515","43579","43554","43578","43597","43528","43589",
"Ansan-si","Household[Household]","Household","277629","278507","279738","280318","281172","281932","282436","283043","283537","284087","285124","286061","286979","287806","288862","289604","290026","290203","290330","290808","291488","292077","292214","292113","292081","292358","293106","293504","293652","293483","293335","293259","292742","292361","291640","291091","290723","290729","290834","290762","290701","290677","290400","290189","289923","289404","288895","288567","288501","288676","288920","288799","288964","289009","289025","288895","288821","288435","288258","288070","287811","287831","287874","288007","288039","288003","287863","287849","287971","287978","287937",
"Sangnok-gu","Household[Household]","Household","147312","147628","148747","149251","149866","150273","150519","150768","150999","151165","152197","153103","153730","154148","155214","155805","156060","156040","156089","156014","156244","156667","156727","156527","156332","156391","157047","157375","157463","157342","157258","157198","157059","156893","156451","156033","155735","155649","155581","155328","155087","154931","154701","154523","154306","153971","153558","153212","152951","152720","152750","152589","152619","152490","152401","152302","152268","151980","151841","151730","151545","151578","151678","151815","151928","151978","151837","151770","151829","151843","151758",
"Danwon-gu","Household[Household]","Household","130317","130879","130991","131067","131306","131659","131917","132275","132538","132922","132927","132958","133249","133658","133648","133799","133966","134163","134241","134794","135244","135410","135487","135586","135749","135967","136059","136129","136189","136141","136077","136061","135683","135468","135189","135058","134988","135080","135253","135434","135614","135746","135699","135666","135617","135433","135337","135355","135550","135956","136170","136210","136345","136519","136624","136593","136553","136455","136417","136340","136266","136253","136196","136192","136111","136025","136026","136079","136142","136135","136179",
"Goyang-si","Household[Household]","Household","435238","436688","437946","438900","440420","441878","443049","443670","444420","445663","447123","448574","450030","451353","451169","451754","452512","453155","454081","454793","455501","455845","456376","456852","457337","458251","459192","460024","460568","460858","461142","461198","460173","460564","460806","461459","462030","462873","463390","463720","464011","464205","464288","464372","464584","464465","464281","464380","464142","464282","464343","464691","465298","465622","465788","465816","466117","466234","466127","466229","466009","465985","465806","465751","465558","465304","465169","465466","465909","465924","465909",
"Deogyang-gu","Household[Household]","Household","196435","197378","198066","198608","199312","199927","200456","200765","201232","202201","203272","203939","204708","205560","205519","206057","206472","206920","207669","208365","208899","209167","209904","210486","211031","211826","212430","213177","213686","214038","214340","214771","214458","215094","215769","216683","217534","218420","219140","219596","219944","220160","220243","220423","220693","220731","220682","220682","220431","220476","220440","220289","220390","220563","220594","220569","220881","221029","220994","221023","220907","220758","220565","220453","220296","220107","219762","219443","219396","219251","219132",
"Ilsandong-gu","Household[Household]","Household","123271","123541","123902","124136","124422","124794","125113","125270","125438","125589","125844","126569","127128","127488","127442","127671","127981","128134","128236","128291","128441","128544","128474","128436","128465","128615","129078","129264","129294","129340","129448","129287","129003","128903","128710","128567","128399","128376","128146","128074","128033","128013","128047","127976","127946","127893","127843","127885","127935","128063","128232","128927","129460","129718","129856","129959","129991","129968","129923","130000","129931","130068","130069","130121","130198","130180","130564","131320","131932","132211","132396",
"Ilsanseo-gu","Household[Household]","Household","115532","115769","115978","116156","116686","117157","117480","117635","117750","117873","118007","118066","118194","118305","118208","118026","118059","118101","118176","118137","118161","118134","117998","117930","117841","117810","117684","117583","117588","117480","117354","117140","116712","116567","116327","116209","116097","116077","116104","116050","116034","116032","115998","115973","115945","115841","115756","115813","115776","115743","115671","115475","115448","115341","115338","115288","115245","115237","115210","115206","115171","115159","115172","115177","115064","115017","114843","114703","114581","114462","114381",
"Gwacheon-si","Household[Household]","Household","21457","21442","21434","21957","22385","22631","22766","22830","22864","22915","22907","23373","23814","24795","25239","25477","25441","25543","25648","25706","25783","25936","26523","27262","28204","28707","28920","29054","29103","29128","29194","29198","28959","28772","28691","28726","28748","28805","28863","28952","29102","29205","29502","29591","29536","29404","29257","29194","29195","29506","29937","30110","30411","30664","30735","30799","30831","30860","30856","30874","30872","30859","30762","30483","30009","29512","29227","29000","28766","28729","28710",
"Guri-si","Household[Household]","Household","79988","80252","80442","80585","80740","80745","80840","80972","81249","81383","81455","81520","81566","81571","81187","81080","80953","80906","80719","80790","80862","80816","80726","80616","80617","80709","80867","80876","80870","80862","80970","80901","80552","80504","80457","80424","80415","80444","80600","80678","80662","80657","80721","80722","80724","80566","80457","80450","80478","80513","80456","80444","80523","80720","80867","80995","81032","81125","81176","81288","81318","81346","81427","81456","81515","81567","81611","81572","81596","81603","81690",
"Namyangju-si","Household[Household]","Household","277259","278183","278736","279137","279577","280236","281325","281998","282645","283718","284616","285334","286269","288163","289215","290344","291395","292185","292909","294255","295597","296706","297835","299156","299547","299932","300295","301189","302282","302840","303408","303803","303826","304120","304188","304288","304357","304430","304416","304523","304558","304525","304328","304171","304040","304119","304439","304768","305063","305385","305899","306345","306597","306741","306922","307063","307137","307216","307314","307424","307429","307474","307572","307649","307763","307956","308141","308499","308720","308882","308687",
"Pungyang branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Osan-si","Household[Household]","Household","95594","95918","96259","96525","96896","97348","97673","98150","98610","98897","99081","99436","99839","100334","100675","100972","101140","101249","101425","101600","101764","101980","102043","102161","102293","102428","102556","102763","102890","103162","103302","103449","103307","103453","103485","103552","103576","103606","103658","103728","103793","103859","103975","104109","104317","104401","104460","104437","104802","105798","106435","107219","107868","108546","109071","109422","109589","109956","110710","111036","111209","111689","112217","113006","113441","113590","113666","113757","113901","113999","114483",
"Siheung-si","Household[Household]","Household","195728","196529","197185","197801","198558","199896","201498","204039","206249","207689","209303","211150","213080","214570","215868","216709","217486","218046","218455","218846","219365","219690","220111","220421","220757","220983","221994","222458","223142","223473","223574","223558","223160","223164","223296","223534","223797","224558","226247","226779","227098","227202","227318","227315","227537","227973","228282","228474","228275","228354","228830","228942","228932","228947","228978","229078","229371","229392","229463","229340","229141","229126","229427","229436","229444","229269","229073","229004","229271","229585","229754",
"Gunpo-si","Household[Household]","Household","110248","110540","110864","110974","111242","111639","111918","112054","112114","112242","112402","112476","112581","112575","112288","112383","112532","112694","112802","112818","113001","113079","113188","113205","113137","113140","113280","113677","114027","114165","114316","114394","114089","114027","113954","113878","113881","113869","113815","113767","113785","113765","113727","113656","113530","113368","113148","113032","112964","112921","112938","112979","112933","112863","112852","112733","112636","112476","112343","112293","112222","112161","112109","111988","111953","111920","111783","111753","111832","111748","111699",
"Uiwang-si","Household[Household]","Household","62814","63498","63691","63690","63461","63224","63085","63110","64152","64462","64641","64690","64713","64709","64369","64439","64569","64719","65128","65467","65617","65668","65668","65734","65704","65745","65718","65634","65501","65379","65366","65282","65173","65102","65014","64839","64748","64628","64440","64255","64046","63911","63796","63745","63969","64086","64462","64402","64167","64037","63826","63514","63192","63112","63066","62997","62959","62845","62856","62798","62747","62806","62785","62799","62905","63576","64267","64637","64996","65419","65711",
"Hanam-si","Household[Household]","Household","116659","117734","118883","119929","121096","122338","123194","124208","125491","126569","127668","128774","129540","130857","131524","132239","132649","133802","134562","135250","135975","136965","138093","138764","139037","139569","139854","139904","140012","140009","140002","139937","139941","140171","140250","140415","140504","140594","140670","140725","140963","141134","141527","141697","141889","141751","141779","141764","141632","141586","141438","141530","141781","141824","141817","141711","141658","141576","141506","141377","141264","141200","141130","141121","141133","141095","140952","140865","140887","140833","140850",
"Yongin-si","Household[Household]","Household","408194","409892","411186","412683","414132","415491","416896","417777","418471","418896","419513","420519","421487","422668","422961","424024","424903","425579","426688","428163","428819","429283","429445","429492","429587","430127","430634","430825","431345","432059","432610","433144","432572","432551","432278","432151","432221","432476","432631","433232","433765","434523","435142","435499","435434","435212","435090","435340","436376","437370","437965","438870","440100","440803","441516","442039","442779","443199","442974","443702","444269","445450","446194","446737","447471","447939","448289","449693","449521","449290","448984",
